raw_url,normalised_url,source_export,gsc_issue,last_crawled,current_status,redirect_chain,final_url,final_status,declared_canonical,in_sitemap,current_route_exists,classification,recommended_action,priority,evidence,notes
"https://travel.mitchchadban.com/","travel.mitchchadban.com/","Coverage-Validation","Crawled - currently not indexed","2026-07-02","200","200","https://travel.mitchchadban.com/","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026","mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026","Coverage-Validation","Crawled - currently not indexed","2026-06-29","308","308>200 -> https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","200","https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>200 → https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/ (in sitemap). Redirect reaches canonical. impr=47.",""
"https://travel.mitchchadban.com/1-day-in-tarragona-sitges","travel.mitchchadban.com/1-day-in-tarragona-sitges","Coverage-Validation","Crawled - currently not indexed","2026-06-28","200","200","https://travel.mitchchadban.com/1-day-in-tarragona-sitges","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://mitchchadban.com/seo-for-professional-services-in-australia-what’s-different-about-ranking-when-you-sell-expertise","mitchchadban.com/seo-for-professional-services-in-australia-what-s-different-about-ranking-when-you-sell-expertise","Coverage-Validation","Crawled - currently not indexed","2026-06-26","308","308>308>200 -> https://mitchchadban.com/seo-for-professional-services-in-australia-whats-different-about-ranking-when-you-sell-expertise/","https://mitchchadban.com/seo-for-professional-services-in-australia-whats-different-about-ranking-when-you-sell-expertise/","200","https://mitchchadban.com/seo-for-professional-services-in-australia-whats-different-about-ranking-when-you-sell-expertise/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>308>200 → https://mitchchadban.com/seo-for-professional-services-in-australia-whats-different-about-ranking-when-you-sell-expertise/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers","mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers","Coverage-Validation","Crawled - currently not indexed","2026-06-25","308","308>200 -> https://mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers/","https://mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers/","200","https://mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>200 → https://mitchchadban.com/aeo-explained-how-to-rank-in-ai-answers/ (in sitemap). Redirect reaches canonical. impr=324.",""
"https://travel.mitchchadban.com/six-days-in-rome-at-the-table-of-empires","travel.mitchchadban.com/six-days-in-rome-at-the-table-of-empires","Coverage-Validation","Crawled - currently not indexed","2026-06-24","200","200","https://travel.mitchchadban.com/six-days-in-rome-at-the-table-of-empires","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://mitchchadban.com/SEO-for-SaaS-Australia-What-Works-in-2026","mitchchadban.com/seo-for-saas-australia-what-works-in-2026","Coverage-Validation","Crawled - currently not indexed","2026-06-23","308","308>404 -> https://mitchchadban.com/SEO-for-SaaS-Australia-What-Works-in-2026/","https://mitchchadban.com/SEO-for-SaaS-Australia-What-Works-in-2026/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /SEO-for-SaaS-Australia-What-Works-in-2026 → /seo-for-saas-australia-what-works-in-2026/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/seo-for-saas-australia-what-works-in-2026/). impr=16, pos=6.06. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://mitchchadban.com/best-seo- -ai-workflow-for-2026","mitchchadban.com/best-seo-ai-workflow-for-2026","Coverage-Validation","Crawled - currently not indexed","2026-06-22","308","308>404 -> https://mitchchadban.com/best-seo-%20-ai-workflow-for-2026/","https://mitchchadban.com/best-seo-%20-ai-workflow-for-2026/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /best-seo- -ai-workflow-for-2026 → /best-seo-and-ai-workflow-for-2026/ (also add slash + non-slash source variants).","P1","chain=308>404 (404). Clear current equivalent exists (/best-seo-and-ai-workflow-for-2026/). impr=40, pos=13.03. No redirect rule matches this variant.","Cargo ""+""→space artifact: the %2B/encoded variant redirects, but the space (%20) variant has no rule."
"https://travel.mitchchadban.com/3-days-in-tangier-at-the-edge-of-two-worlds","travel.mitchchadban.com/3-days-in-tangier-at-the-edge-of-two-worlds","Coverage-Validation","Crawled - currently not indexed","2026-06-21","200","200","https://travel.mitchchadban.com/3-days-in-tangier-at-the-edge-of-two-worlds","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/5-days-in-porto-the-city-the-river-built","travel.mitchchadban.com/5-days-in-porto-the-city-the-river-built","Coverage-Validation","Crawled - currently not indexed","2026-06-21","200","200","https://travel.mitchchadban.com/5-days-in-porto-the-city-the-river-built","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
